instancia,heuristica,tenure,max_iter_param,no_improve_param,neighborhood,n_particles,w,c1,c2,v_max,execucao,semente,melhor_valor,valor_otimo,gap_pct,tempo_s,iter_convergencia,total_iteracoes
P01,BuscaTabu,10.0,500,100.0,flip,,,,,,1,42,309,309.0,0.0,0.0031,0,100
P01,BuscaTabu,10.0,500,100.0,flip,,,,,,2,43,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,500,100.0,flip,,,,,,3,44,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,500,100.0,flip,,,,,,4,45,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,500,100.0,flip,,,,,,5,46,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,500,100.0,swap,,,,,,1,42,309,309.0,0.0,0.0006,0,0
P01,BuscaTabu,10.0,500,100.0,swap,,,,,,2,43,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,10.0,500,100.0,swap,,,,,,3,44,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,10.0,500,100.0,swap,,,,,,4,45,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,10.0,500,100.0,swap,,,,,,5,46,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,10.0,1000,100.0,flip,,,,,,1,42,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,1000,100.0,flip,,,,,,2,43,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,1000,100.0,flip,,,,,,3,44,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,1000,100.0,flip,,,,,,4,45,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,1000,100.0,flip,,,,,,5,46,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,10.0,1000,100.0,swap,,,,,,1,42,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,10.0,1000,100.0,swap,,,,,,2,43,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,10.0,1000,100.0,swap,,,,,,3,44,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,10.0,1000,100.0,swap,,,,,,4,45,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,10.0,1000,100.0,swap,,,,,,5,46,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,500,100.0,flip,,,,,,1,42,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,500,100.0,flip,,,,,,2,43,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,500,100.0,flip,,,,,,3,44,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,500,100.0,flip,,,,,,4,45,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,500,100.0,flip,,,,,,5,46,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,500,100.0,swap,,,,,,1,42,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,20.0,500,100.0,swap,,,,,,2,43,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,500,100.0,swap,,,,,,3,44,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,500,100.0,swap,,,,,,4,45,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,500,100.0,swap,,,,,,5,46,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,1000,100.0,flip,,,,,,1,42,309,309.0,0.0,0.0025,0,100
P01,BuscaTabu,20.0,1000,100.0,flip,,,,,,2,43,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,1000,100.0,flip,,,,,,3,44,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,1000,100.0,flip,,,,,,4,45,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,1000,100.0,flip,,,,,,5,46,309,309.0,0.0,0.0016,0,100
P01,BuscaTabu,20.0,1000,100.0,swap,,,,,,1,42,309,309.0,0.0,0.0001,0,0
P01,BuscaTabu,20.0,1000,100.0,swap,,,,,,2,43,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,1000,100.0,swap,,,,,,3,44,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,1000,100.0,swap,,,,,,4,45,309,309.0,0.0,0.0,0,0
P01,BuscaTabu,20.0,1000,100.0,swap,,,,,,5,46,309,309.0,0.0,0.0,0,0
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,4.0,1,42,309,309.0,0.0,0.0506,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,4.0,2,43,309,309.0,0.0,0.046,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0447,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0322,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,4.0,5,46,309,309.0,0.0,0.0313,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,6.0,1,42,309,309.0,0.0,0.0478,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0313,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,6.0,3,44,309,309.0,0.0,0.0315,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0315,0,100
P01,PSO_Binario,,100,,,30.0,0.4,2.0,2.0,6.0,5,46,309,309.0,0.0,0.0315,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,4.0,1,42,309,309.0,0.0,0.032,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,4.0,2,43,309,309.0,0.0,0.0317,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0319,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0321,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,4.0,5,46,309,309.0,0.0,0.032,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,6.0,1,42,309,309.0,0.0,0.032,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0315,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,6.0,3,44,309,309.0,0.0,0.0317,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0318,0,100
P01,PSO_Binario,,100,,,30.0,0.7,2.0,2.0,6.0,5,46,309,309.0,0.0,0.032,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,4.0,1,42,309,309.0,0.0,0.0323,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,4.0,2,43,309,309.0,0.0,0.0319,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0323,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0323,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,4.0,5,46,309,309.0,0.0,0.0326,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,6.0,1,42,309,309.0,0.0,0.0432,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0366,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,6.0,3,44,309,309.0,0.0,0.032,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0322,0,100
P01,PSO_Binario,,100,,,30.0,0.9,2.0,2.0,6.0,5,46,309,309.0,0.0,0.0324,0,100
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,4.0,1,42,309,309.0,0.0,0.1435,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,4.0,2,43,309,309.0,0.0,0.0932,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0936,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0934,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,4.0,5,46,309,309.0,0.0,0.0947,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,6.0,1,42,309,309.0,0.0,0.1303,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,6.0,2,43,309,309.0,0.0,0.1432,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,6.0,3,44,309,309.0,0.0,0.0948,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0936,0,300
P01,PSO_Binario,,300,,,30.0,0.4,2.0,2.0,6.0,5,46,309,309.0,0.0,0.0942,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,4.0,1,42,309,309.0,0.0,0.0985,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,4.0,2,43,309,309.0,0.0,0.1317,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0992,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0954,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,4.0,5,46,309,309.0,0.0,0.0955,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,6.0,1,42,309,309.0,0.0,0.0961,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0955,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,6.0,3,44,309,309.0,0.0,0.182,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0955,0,300
P01,PSO_Binario,,300,,,30.0,0.7,2.0,2.0,6.0,5,46,309,309.0,0.0,0.0955,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,4.0,1,42,309,309.0,0.0,0.0967,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,4.0,2,43,309,309.0,0.0,0.0959,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0967,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0963,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,4.0,5,46,309,309.0,0.0,0.0965,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,6.0,1,42,309,309.0,0.0,0.0972,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0963,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,6.0,3,44,309,309.0,0.0,0.0977,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0968,0,300
P01,PSO_Binario,,300,,,30.0,0.9,2.0,2.0,6.0,5,46,309,309.0,0.0,0.0972,0,300
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,4.0,1,42,309,309.0,0.0,0.0991,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,4.0,2,43,309,309.0,0.0,0.0986,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,4.0,3,44,309,309.0,0.0,0.0987,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0984,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,4.0,5,46,309,309.0,0.0,0.0989,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,6.0,1,42,309,309.0,0.0,0.1014,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0984,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,6.0,3,44,309,309.0,0.0,0.0987,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0987,0,100
P01,PSO_Binario,,100,,,100.0,0.4,2.0,2.0,6.0,5,46,309,309.0,0.0,0.1001,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,4.0,1,42,309,309.0,0.0,0.1005,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,4.0,2,43,309,309.0,0.0,0.0996,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,4.0,3,44,309,309.0,0.0,0.1004,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,4.0,4,45,309,309.0,0.0,0.0999,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,4.0,5,46,309,309.0,0.0,0.1001,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,6.0,1,42,309,309.0,0.0,0.0995,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,6.0,2,43,309,309.0,0.0,0.0989,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,6.0,3,44,309,309.0,0.0,0.0997,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,6.0,4,45,309,309.0,0.0,0.0993,0,100
P01,PSO_Binario,,100,,,100.0,0.7,2.0,2.0,6.0,5,46,309,309.0,0.0,0.0997,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,4.0,1,42,309,309.0,0.0,0.1017,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,4.0,2,43,309,309.0,0.0,0.1007,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,4.0,3,44,309,309.0,0.0,0.1001,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,4.0,4,45,309,309.0,0.0,0.1003,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,4.0,5,46,309,309.0,0.0,0.1001,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,6.0,1,42,309,309.0,0.0,0.1012,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,6.0,2,43,309,309.0,0.0,0.1014,0,100
P01,PSO_Binario,,100,,,100.0,0.9,2.0,2.0,6.0,3,44,309,309.0,0.0,0.1014,0,100
